date,debit_account,debit_name,debit_inn,credit_account,credit_name,credit_inn,debit_amount,credit_amount,purpose,risk,risk_comment
2025-09-12 09:45:35,40702810900000123456,"ООО ""СтройГарант""",7712345678,07991183842513542784,Петров А.А.,132677360260,4598063.52,,"Выдан займ по договору займа №Z-6713 от 12.09.2025, срок возврата 07.01.2026",Средний,Займ/погашение — требуется документооборот
2025-08-11 00:49:59,94131869993867749649,"ООО ""Фирма_1014""",9091334123,40702810900000123456,"ООО ""СтройГарант""",7712345678,,92110.99,"Разовый приход: оплата по счёту №78196, основание: возврат аванса",Низкий,Возврат по счёту/корректировка
2025-09-17 02:54:27,35615951484656482366,"ООО ""Фирма_1002""",2994680443,40702810900000123456,"ООО ""СтройГарант""",7712345678,,2373430.59,"Оплата по договору поставки №9659 от 17.09.2025 (покупка), счет-фактура №6077",Высокий,Крупная единовременная выплата — требуется проверка контрагента
2025-08-10 07:51:08,40702810900000123456,"ООО ""СтройГарант""",7712345678,98084124118244935348,Сидоров В.В.,647468723430,382085.6,,"Оплата по контракту №6310 от 10.08.2025, предоплата 50% по счёту №3956",Средний,Операция стандартного типа — рекомендована сверка документов
2025-08-24 02:12:43,40702810900000123456,"ООО ""СтройГарант""",7712345678,39005329318393352904,"ООО ""Фирма_1028""",2284210205,516747.99,,"Разовый перевод, основание: возврат аванса",Низкий,Возврат по счёту/корректировка
2025-09-08 09:34:01,31647525534192832764,"ООО ""АудитКонсалт""",7704343434,40702810900000123456,"ООО ""СтройГарант""",7712345678,,557770.78,"Разовый приход: оплата по счёту №13180, основание: возврат аванса",Низкий,Возврат по счёту/корректировка
2025-09-29 23:04:27,40702810900000123456,"ООО ""СтройГарант""",7712345678,59407816184959310341,"ООО ""ЭнергоСбыт""",7722222222,253307.68,,"Оплата услуг по договору №US-5291 от 29.09.2025, акт №29382 от 24.09.2025",Низкий,Оплата услуг по договору
2025-08-21 14:45:59,80531003309232719374,"ООО ""Фирма_1008""",5299124190,40702810900000123456,"ООО ""СтройГарант""",7712345678,,487907.04,"Оплата по договору поставки №9676 от 21.08.2025 (покупка), счет-фактура №3438",Средний,Операция стандартного типа — рекомендована сверка документов
2025-09-24 17:51:12,39502402681177589178,"ООО ""Фирма_1029""",3908470076,40702810900000123456,"ООО ""СтройГарант""",7712345678,,740093.43,"Оплата услуг по договору №US-4663 (Предоставление услуг), акт №8333",Средний,Крупная сумма за услуги — проверьте акт оказанных услуг
2025-08-08 22:07:06,40702810900000123456,"ООО ""СтройГарант""",7712345678,56232858842474517123,"ООО ""Фирма_1025""",6851604817,1395349.47,,"Оплата по контракту №9494 от 08.08.2025, предоплата 50% по счёту №15771",Средний,Операция стандартного типа — рекомендована сверка документов
2025-08-14 01:06:43,79237474074821759464,"ООО ""Фирма_1023""",7436713695,40702810900000123456,"ООО ""СтройГарант""",7712345678,,816294.3,"Оплата по договору на поставку №9151, оплата по счету №91738 от 06.08.2025",Средний,Операция стандартного типа — рекомендована сверка документов
2025-09-21 15:18:57,40702810900000123456,"ООО ""СтройГарант""",7712345678,72774348734714345581,"ООО ""Фирма_1005""",2236231665,791147.81,,"Перечисление НДС за сентября 2025, платежное поручение 3227",Низкий,Регулярная обязательная выплата
2025-09-20 22:36:42,10310518347382997376,"АО ""Банк Финанс""",7733333333,40702810900000123456,"ООО ""СтройГарант""",7712345678,,401258.24,"Оплата услуг по договору №US-9124 (Предоставление услуг), акт №69914",Низкий,Оплата услуг по договору
2025-09-23 20:28:53,40702810900000123456,"ООО ""СтройГарант""",7712345678,49480831367837770143,"ООО ""Фирма_1011""",6349578856,758812.59,,"Разовый перевод, основание: погашение задолженности по устной договоренности",Средний,Операция стандартного типа — рекомендована сверка документов
2025-09-27 16:54:56,40702810900000123456,"ООО ""СтройГарант""",7712345678,28951718702621745961,"ООО ""Фирма_1021""",5865780913,985299.44,,"Разовый перевод, основание: погашение задолженности по устной договоренности",Средний,Операция стандартного типа — рекомендована сверка документов
2025-08-12 07:02:02,40702810900000123456,"ООО ""СтройГарант""",7712345678,39502402681177589178,"ООО ""Фирма_1029""",3908470076,185949.62,,Оплата электроэнергии по счёту №33935 от 07.08.2025,Низкий,Регулярная обязательная выплата
2025-08-25 23:07:11,40702810900000123456,"ООО ""СтройГарант""",7712345678,44997278755886753396,"ООО ""Фирма_1020""",3605766270,352323.71,,Выплата заработной платы за августа 2025 по ведомости №5987,Низкий,Выплата заработной платы по ведомости
2025-09-05 16:29:18,40702810900000123456,"ООО ""СтройГарант""",7712345678,16697848018451462704,"ООО ""ЖилФонд""",7722223334,528656.0,,"Оплата по контракту №5795 от 05.09.2025, предоплата 50% по счёту №47436",Средний,Операция стандартного типа — рекомендована сверка документов
2025-08-21 00:45:36,49663193149190586518,"ООО ""Фирма_1009""",5067165726,40702810900000123456,"ООО ""СтройГарант""",7712345678,,2341191.46,"Оплата по договору на поставку №4878, оплата по счету №88718 от 20.08.2025",Высокий,Крупная единовременная выплата — требуется проверка контрагента
2025-09-02 17:11:18,40702810900000123456,"ООО ""СтройГарант""",7712345678,10433218196001338908,"ООО ""ТехноПоставка""",7701987654,206538.02,,"Оплата по договору поставки №6814 от 02.09.2025, счет №95776 от 24.08.2025, без НДС",Низкий,Регулярная обязательная выплата
2025-09-09 05:53:12,40702810900000123456,"ООО ""СтройГарант""",7712345678,49663193149190586518,"ООО ""Фирма_1009""",5067165726,852949.78,,"Разовый перевод, основание: возврат аванса",Низкий,Возврат по счёту/корректировка
2025-08-12 05:37:43,40702810900000123456,"ООО ""СтройГарант""",7712345678,28120679740344713493,"ООО ""Фирма_1015""",6183242102,1437125.06,,Выплата заработной платы за августа 2025 по ведомости №2323,Низкий,Выплата заработной платы по ведомости
2025-08-12 06:37:25,40702810900000123456,"ООО ""СтройГарант""",7712345678,49663193149190586518,"ООО ""Фирма_1009""",5067165726,785343.9,,"Перечисление НДС за августа 2025, платежное поручение 5022",Низкий,Регулярная обязательная выплата
2025-09-22 12:42:27,40702810900000123456,"ООО ""СтройГарант""",7712345678,79237474074821759464,"ООО ""Фирма_1023""",7436713695,925524.01,,"Разовый перевод, основание: возврат аванса",Низкий,Возврат по счёту/корректировка
2025-08-28 01:54:31,85574443135182337498,"ООО ""Фирма_1012""",9413435240,40702810900000123456,"ООО ""СтройГарант""",7712345678,,275887.05,"Оплата услуг по договору №US-6286 (Предоставление услуг), акт №84771",Низкий,Оплата услуг по договору
2025-09-20 18:32:20,40702810900000123456,"ООО ""СтройГарант""",7712345678,28498776945314737996,"ООО ""Фирма_1010""",5075273545,480149.22,,"Оплата по контракту №1969 от 20.09.2025, предоплата 50% по счёту №53428",Средний,Операция стандартного типа — рекомендована сверка документов
2025-09-09 01:40:47,40702810900000123456,"ООО ""СтройГарант""",7712345678,28498776945314737996,"ООО ""Фирма_1010""",5075273545,695915.64,,"Разовый перевод, основание: компенсация затрат по акту",Средний,Операция стандартного типа — рекомендована сверка документов
2025-08-04 01:47:44,40702810900000123456,"ООО ""СтройГарант""",7712345678,28498776945314737996,"ООО ""Фирма_1010""",5075273545,427523.03,,"Оплата по договору поставки №648 от 04.08.2025, счет №83272 от 03.08.2025, без НДС",Низкий,Регулярная обязательная выплата
2025-08-05 13:09:05,40702810900000123456,"ООО ""СтройГарант""",7712345678,39005329318393352904,"ООО ""Фирма_1028""",2284210205,622148.18,,"Оплата по контракту №6859 от 05.08.2025, предоплата 50% по счёту №90607",Средний,Операция стандартного типа — рекомендована сверка документов
