Дата проводки,Счёт (наименование + ИНН),Сумма по дебету (RUB),Сумма по кредиту (RUB),Банк (условный БИК + наименование),Назначение платежа (детали),Риск,Причины_оценки_риска,Примечание
2025-08-01 11:54:16,"ООО НОВЫЙ МАРКЕТ, ИНН: 1625002506","178,824.59",,"Сбербанк, г. Москва, Центральный офис (БИК: 044525225)",Оплата по договор №406/2025 от 14.06.2025; счет-фактура №3916; ТТН №543; назнач.: оплата поставки; дата/время проводки 01.08.2025 11:54; счет-фактура №3916; ТТН №543,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-01 11:58:33,"ООО КОНСАЛТИНГ ПРО, ИНН: 1827002708",,"834,043.23","Альфа-Банк, г. Москва (БИК: 044030653)",Оплата по договор №920/2025 от 21.07.2025; счет-фактура №5438; ТТН №128; назнач.: оплата поставки; дата/время проводки 01.08.2025 11:58; счет-фактура №5438; ТТН №128,Средний,amount_over_med;has_docs_and_contract,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-01 12:57:57,"ООО ЭНЕРГОСЕРВИС, ИНН: 1726002607","86,799.32",,"Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)",Оплата по договор №701/2025 от 02.07.2025; счет-фактура №3861; ТТН №619; назнач.: оплата поставки; дата/время проводки 01.08.2025 12:57; счет-фактура №3861; ТТН №619,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-01 13:27:49,"ООО НЕОТЕК, ИНН: 1120002001",,"218,015.92","Газпромбанк, г. Москва (БИК: 044525545)",Оплата по договор №317/2025 от 19.08.2025; счет-фактура №3924; ТТН №633; назнач.: оплата поставки; дата/время проводки 01.08.2025 13:27; счет-фактура №3924; ТТН №633,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-01 14:53:28,"ООО РЕГИОНАЛ ЛОГИСТИК, ИНН: 1928002809",,"78,051.72","Сбербанк, г. Екатеринбург, Уральский филиал (БИК: 045004641)",Оплата по договор №644/2025 от 17.08.2025; счет-фактура №3324; ТТН №962; назнач.: оплата поставки; дата/время проводки 01.08.2025 14:53; счет-фактура №3324; ТТН №962,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-01 15:07:55,"ООО СЛЕД-ИНВЕСТ, ИНН: 2534003405",,"169,168.39","ВТБ, г. Москва, Головной офис (БИК: 040349700)",Оплата по договор №938/2025 от 15.07.2025; счет-фактура №2974; ТТН №726; назнач.: оплата поставки; дата/время проводки 01.08.2025 15:07; счет-фактура №2974; ТТН №726,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-01 15:17:02,"ООО ВНУТРЕННИЕ ОПЕРАЦИИ, ИНН: 2130003001",,"301,808.93","Альфа-Банк, г. Москва (БИК: 044030653)",Внутренний перевод между счетами организации; назнач.: внутр. перераспределение; дата 01.08.2025 15:17,Без риска,internal_transfer,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-01 15:49:39,"ИП ПЕТРОВ И.А., ИНН: 5002003002",,"172,215.07","Россельхозбанк, г. Москва (БИК: 044525100)","Перечисление заработной платы, период: 08.2025; ведомость №69; дата 01.08.2025 15:49",Низкий,default_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-01 15:54:28,"ООО КОНСАЛТИНГ ПРО, ИНН: 1827002708",,"1,773,069.92","Сбербанк, г. Екатеринбург, Уральский филиал (БИК: 045004641)",Оплата по договор №797/2025 от 12.06.2025; счет-фактура №7005; ТТН №506; назнач.: оплата поставки; дата/время проводки 01.08.2025 15:54; счет-фактура №7005; ТТН №506,Средний,amount_over_med;has_docs_and_contract,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-01 16:24:05,"ООО СБОРКА, ИНН: 7806001606",,"1,161,975.89","Россельхозбанк, г. Москва (БИК: 044525100)",Оплата по договор №722/2025 от 21.08.2025; счет-фактура №1334; ТТН №645; назнач.: оплата поставки; дата/время проводки 01.08.2025 16:24; счет-фактура №1334; ТТН №645,Средний,amount_over_med;has_docs_and_contract,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-01 16:56:26,"ИП СИДОРОВ В.П., ИНН: 6606007006",,"105,306.95","Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)","Перечисление заработной платы, период: 08.2025; ведомость №1; дата 01.08.2025 16:56",Низкий,default_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-01 18:55:04,"ООО ЛАБСЕРВИС, ИНН: 7808009008","1,133,121.05",,"Сбербанк, г. Екатеринбург, Уральский филиал (БИК: 045004641)",Аванс по договор №663/2025 от 02.06.2025; счет-фактура №1897; назнач.: аванс; дата/время 01.08.2025 18:55; счет-фактура №1897; ТТН №447,Средний,advance_mention,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-01 19:06:03,"ООО СЕКЬЮРИТИ, ИНН: 4503001303","88,419.51",,"Альфа-Банк, г. Москва (БИК: 044030653)",Оплата по договор №342/2025 от 10.06.2025; счет-фактура №5486; ТТН №226; назнач.: оплата поставки; дата/время проводки 01.08.2025 19:06; сопроводительные документы отсутствуют,Средний,no_docs_amount_over_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-01 20:07:55,"ИП ПЕТРОВ И.А., ИНН: 5002003002","169,698.00",,"Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)",Оплата по договор №211/2025 от 13.06.2025; счет-фактура №9253; ТТН №577; назнач.: оплата поставки; дата/время проводки 01.08.2025 20:07; счет-фактура №9253; ТТН №577,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-01 20:45:49,"ООО ЭКСПОРТПРО, ИНН: 5907008007",,"430,742.73","Сбербанк, г. Ростов-на-Дону, Южный филиал (БИК: 041806647)",Оплата по договор №605/2025 от 23.08.2025; счет-фактура №1117; ТТН №656; назнач.: оплата поставки; дата/время проводки 01.08.2025 20:45; сопроводительные документы отсутствуют,Средний,no_docs_amount_over_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-01 20:50:52,"ООО МАРКЕТПЛЮС, ИНН: 4405006005","253,238.99",,"Газпромбанк, г. Москва (БИК: 044525545)",Оплата по договор №993/2025 от 26.06.2025; счет-фактура №2868; ТТН №717; назнач.: оплата поставки; дата/время проводки 01.08.2025 20:50; счет-фактура №2868; ТТН №717,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-01 20:58:03,"ООО КРИПТОТРЕЙД, ИНН: 1209001010","2,488,857.79",,"Сбербанк, г. Москва, Центральный офис (БИК: 044525225)",Перечисление контрагенту ООО КРИПТОТРЕЙД; назнач.: оплата услуг; документы: не указаны; дата 01.08.2025 20:58,Высокий,very_large_amount,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 08:00:49,"ИП СИДОРОВ В.П., ИНН: 6606007006",,"159,846.39","Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)",Оплата по договор №991/2025 от 08.06.2025; счет-фактура №7217; ТТН №564; назнач.: оплата поставки; дата/время проводки 02.08.2025 08:00; счет-фактура №7217; ТТН №564,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 08:20:40,"ООО СЕРВИСПРО, ИНН: 1423002304","89,718.88",,"Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)",Оплата по договор №453/2025 от 18.07.2025; счет-фактура №9254; ТТН №279; назнач.: оплата поставки; дата/время проводки 02.08.2025 08:20; счет-фактура №9254; ТТН №279,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 08:23:15,"ООО НЕОТЕК, ИНН: 1120002001",,"1,093,321.59","Россельхозбанк, г. Москва (БИК: 044525100)",Оплата по договор №988/2025 от 16.06.2025; счет-фактура №9863; ТТН №994; назнач.: оплата поставки; дата/время проводки 02.08.2025 08:23; счет-фактура №9863; ТТН №994,Средний,amount_over_med;has_docs_and_contract,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 08:45:03,"ООО КРИПТОТРЕЙД, ИНН: 1209001010","1,648,411.80",,"Сбербанк, г. Москва, Центральный офис (БИК: 044525225)",Перечисление контрагенту ООО КРИПТОТРЕЙД; назнач.: оплата услуг; документы: не указаны; дата 02.08.2025 08:45,Высокий,large_amount_no_docs,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 09:20:13,"ООО ТРАНСЛАЙН, ИНН: 1322002203","654,786.83",,"ВТБ, г. Москва, Головной офис (БИК: 040349700)",Оплата по договор №215/2025 от 01.08.2025; счет-фактура №1146; ТТН №355; назнач.: оплата поставки; дата/время проводки 02.08.2025 09:20; счет-фактура №1146; ТТН №355,Средний,amount_over_med;has_docs_and_contract,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 09:23:12,"ООО РЕГИОНАЛ ЛОГИСТИК, ИНН: 1928002809",,"369,709.30","ВТБ, г. Москва, Головной офис (БИК: 040349700)",Оплата по договор №230/2025 от 02.06.2025; счет-фактура №2425; ТТН №593; назнач.: оплата поставки; дата/время проводки 02.08.2025 09:23; счет-фактура №2425; ТТН №593,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 09:29:11,"ООО СТРОЙПРОЕКТ, ИНН: 5404005004",,"309,894.30","Россельхозбанк, г. Москва (БИК: 044525100)",Оплата по договор №250/2025 от 04.06.2025; счет-фактура №8262; ТТН №177; назнач.: оплата поставки; дата/время проводки 02.08.2025 09:29; счет-фактура №8262; ТТН №177,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 09:45:27,"ООО КРИПТОТРЕЙД, ИНН: 1209001010",,"59,837.73","Сбербанк, г. Москва, Центральный офис (БИК: 044525225)",Перечисление контрагенту ООО КРИПТОТРЕЙД; назнач.: оплата услуг; документы: не указаны; дата 02.08.2025 09:45,Средний,crypto_activity,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 09:45:38,"ИП СИДОРОВ В.П., ИНН: 6606007006",,"249,112.47","Газпромбанк, г. Москва (БИК: 044525545)","Перечисление заработной платы, период: 08.2025; ведомость №58; дата 02.08.2025 09:45",Низкий,default_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 09:51:54,"ООО СЕКЬЮРИТИ, ИНН: 4503001303","43,160.38",,"Промсвязьбанк, г. Москва (БИК: 044525000)",Оплата по договор №439/2025 от 13.06.2025; счет-фактура №6432; ТТН №266; назнач.: оплата поставки; дата/время проводки 02.08.2025 09:51; счет-фактура №6432; ТТН №266,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 10:11:12,"ООО КРИПТОТРЕЙД, ИНН: 1209001010",,"1,780,414.97","Сбербанк, г. Ростов-на-Дону, Южный филиал (БИК: 041806647)",Перечисление контрагенту ООО КРИПТОТРЕЙД; назнач.: оплата услуг; документы: не указаны; дата 02.08.2025 10:11,Высокий,large_amount_no_docs,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 10:38:50,"ООО НОВЫЙ МАРКЕТ, ИНН: 1625002506","1,984,823.53",,"Газпромбанк, г. Москва (БИК: 044525545)",Оплата по договор №634/2025 от 15.07.2025; счет-фактура №4979; ТТН №505; назнач.: оплата поставки; дата/время проводки 02.08.2025 10:38; счет-фактура №4979; ТТН №505,Средний,amount_over_med;has_docs_and_contract,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 10:46:37,"ООО АЛЬФАМЕД, ИНН: 7803004003","765,000.65",,"Сбербанк, г. Санкт-Петербург, Северо-Западный филиал (БИК: 046577674)",Оплата по договор №399/2025 от 14.07.2025; счет-фактура №5422; ТТН №179; назнач.: оплата поставки; дата/время проводки 02.08.2025 10:46; счет-фактура №5422; ТТН №179,Средний,amount_over_med;has_docs_and_contract,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 11:12:22,"ИП СИДОРОВ В.П., ИНН: 6606007006","237,157.96",,"Альфа-Банк, г. Москва (БИК: 044030653)","Перечисление заработной платы, период: 08.2025; ведомость №19; дата 02.08.2025 11:12",Низкий,default_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 11:35:50,"ООО НЕОТЕК, ИНН: 1120002001",,"182,707.92","Сбербанк, г. Екатеринбург, Уральский филиал (БИК: 045004641)",Оплата по договор №204/2025 от 19.06.2025; счет-фактура №4866; ТТН №143; назнач.: оплата поставки; дата/время проводки 02.08.2025 11:35; счет-фактура №4866; ТТН №143,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 11:38:49,"ООО СЛЕД-ИНВЕСТ, ИНН: 2534003405","237,830.14",,"Газпромбанк, г. Москва (БИК: 044525545)",Оплата по договор №923/2025 от 08.07.2025; счет-фактура №9800; ТТН №411; назнач.: оплата поставки; дата/время проводки 02.08.2025 11:38; счет-фактура №9800; ТТН №411,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 12:16:59,"ООО МАЛЫЙ БИЗНЕС, ИНН: 2433003304",,"15,965.76","Россельхозбанк, г. Москва (БИК: 044525100)",Оплата по договор №767/2025 от 24.08.2025; счет-фактура №5769; ТТН №821; назнач.: оплата поставки; дата/время проводки 02.08.2025 12:16; счет-фактура №5769; ТТН №821,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 12:31:33,"ООО ЭКСПОРТПРО, ИНН: 5907008007",,"451,931.90","ВТБ, г. Москва, Головной офис (БИК: 040349700)",Оплата по договор №642/2025 от 08.08.2025; счет-фактура №4578; ТТН №137; назнач.: оплата поставки; дата/время проводки 02.08.2025 12:31; счет-фактура №4578; ТТН №137,Низкий,default_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 12:48:38,"ООО НОВЫЙ МАРКЕТ, ИНН: 1625002506","226,503.40",,"Альфа-Банк, г. Москва (БИК: 044030653)",Оплата по договор №190/2025 от 20.06.2025; счет-фактура №6996; ТТН №859; назнач.: оплата поставки; дата/время проводки 02.08.2025 12:48; сопроводительные документы отсутствуют,Средний,no_docs_amount_over_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 13:21:26,"ООО ЭКСПОРТПРО, ИНН: 5907008007","297,122.22",,"ВТБ, г. Москва, Головной офис (БИК: 040349700)",Оплата по договор №905/2025 от 09.06.2025; счет-фактура №1324; ТТН №786; назнач.: оплата поставки; дата/время проводки 02.08.2025 13:21; счет-фактура №1324; ТТН №786,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 13:22:32,"ООО КОНСАЛТИНГ ПРО, ИНН: 1827002708",,"142,450.91","Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)",Оплата по договор №802/2025 от 20.07.2025; счет-фактура №7024; ТТН №500; назнач.: оплата поставки; дата/время проводки 02.08.2025 13:22; счет-фактура №7024; ТТН №500,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 13:28:01,"ООО НОВЫЙ МАРКЕТ, ИНН: 1625002506",,"124,797.41","Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)",Оплата по договор №538/2025 от 09.07.2025; счет-фактура №8031; ТТН №371; назнач.: оплата поставки; дата/время проводки 02.08.2025 13:28; счет-фактура №8031; ТТН №371,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 13:53:51,"ИП ПЕТРОВ И.А., ИНН: 5002003002",,"165,097.23","Газпромбанк, г. Москва (БИК: 044525545)","Перечисление заработной платы, период: 08.2025; ведомость №49; дата 02.08.2025 13:53",Низкий,default_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 14:11:13,"ИП ПЕТРОВ И.А., ИНН: 5002003002","229,985.51",,"Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)","Перечисление заработной платы, период: 08.2025; ведомость №68; дата 02.08.2025 14:11",Низкий,default_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 14:35:19,"ООО БИЗНЕСХАУС, ИНН: 1019001909",,"119,235.84","ВТБ, г. Москва, Головной офис (БИК: 040349700)",Оплата коммунальных услуг и интернет; период: 08.2025; дата/время 02.08.2025 14:35,Низкий,default_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 14:47:42,"ИП НИКОЛАЕВА С.А., ИНН: 3402001202","122,038.72",,"Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)",Оплата по договор №511/2025 от 07.06.2025; счет-фактура №4515; ТТН №522; назнач.: оплата поставки; дата/время проводки 02.08.2025 14:47; счет-фактура №4515; ТТН №522,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 14:57:09,"ООО АЛЬФАМЕД, ИНН: 7803004003",,"38,389.57","Сбербанк, г. Ростов-на-Дону, Южный филиал (БИК: 041806647)",Оплата по договор №377/2025 от 26.07.2025; счет-фактура №7009; ТТН №762; назнач.: оплата поставки; дата/время проводки 02.08.2025 14:57; счет-фактура №7009; ТТН №762,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 15:48:56,"ООО РЕГИОНАЛ ЛОГИСТИК, ИНН: 1928002809","349,484.36",,"ВТБ, г. Москва, Головной офис (БИК: 040349700)",Оплата по договор №386/2025 от 05.08.2025; счет-фактура №4710; ТТН №777; назнач.: оплата поставки; дата/время проводки 02.08.2025 15:48; счет-фактура №4710; ТТН №777,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 16:29:17,"ООО КРИПТОТРЕЙД, ИНН: 1209001010","2,568,894.63",,"Газпромбанк, г. Москва (БИК: 044525545)",Перечисление контрагенту ООО КРИПТОТРЕЙД; назнач.: оплата услуг; документы: не указаны; дата 02.08.2025 16:29,Высокий,very_large_amount,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 16:30:09,"ООО ИНЖИНЕРОВАНИЕ, ИНН: 1221002102","109,611.13",,"Промсвязьбанк, г. Москва (БИК: 044525000)",Оплата по договор №313/2025 от 26.07.2025; счет-фактура №6544; ТТН №782; назнач.: оплата поставки; дата/время проводки 02.08.2025 16:30; счет-фактура №6544; ТТН №782,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 16:34:11,"ИП ВАСИЛЬЕВА Н.К., ИНН: 1524002405",,"2,706.08","Сбербанк, г. Москва, Центральный офис (БИК: 044525225)",Оплата по договор №708/2025 от 25.07.2025; счет-фактура №2857; ТТН №851; назнач.: оплата поставки; дата/время проводки 02.08.2025 16:34; счет-фактура №2857; ТТН №851,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 16:55:58,"ООО НЕОТЕК, ИНН: 1120002001","21,946.88",,"Газпромбанк, г. Москва (БИК: 044525545)",Оплата по договор №889/2025 от 03.08.2025; счет-фактура №6078; ТТН №637; назнач.: оплата поставки; дата/время проводки 02.08.2025 16:55; счет-фактура №6078; ТТН №637,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 16:58:54,"ООО ИНЖИНЕРОВАНИЕ, ИНН: 1221002102","761,014.80",,"Сбербанк, г. Ростов-на-Дону, Южный филиал (БИК: 041806647)",Оплата по договор №530/2025 от 25.06.2025; счет-фактура №7411; ТТН №837; назнач.: оплата поставки; дата/время проводки 02.08.2025 16:58; счет-фактура №7411; ТТН №837,Средний,amount_over_med;has_docs_and_contract,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 17:12:54,"ООО КОНСАЛТИНГ ПРО, ИНН: 1827002708","322,265.18",,"Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)",Оплата по договор №897/2025 от 07.06.2025; счет-фактура №6365; ТТН №528; назнач.: оплата поставки; дата/время проводки 02.08.2025 17:12; сопроводительные документы отсутствуют,Средний,no_docs_amount_over_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 17:15:07,"ООО СЛЕД-ИНВЕСТ, ИНН: 2534003405","171,343.25",,"Газпромбанк, г. Москва (БИК: 044525545)",Оплата по договор №329/2025 от 03.07.2025; счет-фактура №3914; ТТН №556; назнач.: оплата поставки; дата/время проводки 02.08.2025 17:15; счет-фактура №3914; ТТН №556,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 17:32:07,"ООО АГРОСНАБ, ИНН: 2301001101","200,666.90",,"Россельхозбанк, г. Москва (БИК: 044525100)",Аванс по договор №848/2025 от 21.07.2025; счет-фактура №4849; назнач.: аванс; дата/время 02.08.2025 17:32; счет-фактура №4849; ТТН №512,Средний,advance_mention,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 17:58:34,"ООО РАПИДДЕВ, ИНН: 6705001505",,"222,187.83","Россельхозбанк, г. Москва (БИК: 044525100)",Оплата по договор №973/2025 от 06.08.2025; счет-фактура №2758; ТТН №107; назнач.: оплата поставки; дата/время проводки 02.08.2025 17:58; счет-фактура №2758; ТТН №107,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-02 17:59:53,"ООО ЭКСПОРТПРО, ИНН: 5907008007","944,778.01",,"Газпромбанк, г. Москва (БИК: 044525545)",Оплата по договор №350/2025 от 28.07.2025; счет-фактура №4628; ТТН №370; назнач.: оплата поставки; дата/время проводки 02.08.2025 17:59; счет-фактура №4628; ТТН №370,Средний,amount_over_med;has_docs_and_contract,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
