date,debit_account,debit_name,debit_inn,credit_account,credit_name,credit_inn,debit_amount,credit_amount,purpose,risk
2025-08-20 13:24:54,74325122572076502412,ФЛ Кузнецов Сергей,354940128906,40333997718051371717,ФЛ Лебедев Сергей,094841312876,,70941.95,комиссионное по договору №1981,high
2025-08-20 13:28:51,82547807740649308536,ООО «Точка»,7456424009,48236629946804436995,ЗАО «Прайм»,9514846567,,66168.41,аренда офиса за работы,low
2025-08-20 16:08:19,70538338848792069804,ООО «Дельта»,3924051475,49872839992192124938,ИП «Точка»,504793036109,84127.36,,crypto за товары,high
2025-08-20 16:11:02,40333997718051371717,ФЛ Лебедев Сергей,094841312876,45104636815798123878,ООО «Вектор»,4394070168,,71862.34,договор займа по договору №1854,high
2025-08-20 16:13:48,58066013824127049386,ФЛ Иванов Андрей,184390552934,00687616481980770460,ФЛ Лебедев Дмитрий,278195237149,,12916.39,страховой взнос по договору №1699,low
2025-08-20 16:41:05,49872839992192124938,ИП «Точка»,504793036109,01234289311325326949,ФЛ Лебедев Дмитрий,792749072895,85656.47,,пополнение за работы,high
2025-08-20 16:48:45,43882211457758474570,ФЛ Иванов Андрей,790737100992,19952980061558108358,ФЛ Лебедев Дмитрий,504763928372,,69413.6,оплата по договору поставки за период,low
2025-08-20 16:55:48,61497840369003432445,АО «Прайм»,7976438150,11593195256904098366,ИП «Кей»,668633414103,,60718.04,налоги и сборы,low
2025-08-20 17:08:01,45104636815798123878,ООО «Вектор»,4394070168,09859317461200471138,ООО «Город»,7549651371,72161.84,,перевод средств,high
2025-08-20 18:06:13,09859317461200471138,ООО «Город»,7549651371,66934654722698485833,ОАО «Квадро»,9221699584,72090.62,,предоплата по договору №9237,high
2025-08-20 19:18:31,01234289311325326949,ФЛ Лебедев Дмитрий,792749072895,27985240132234232161,ИП «Градиент»,671120754530,,84971.94,аренда офиса по договору №9386,high
2025-08-20 21:16:25,27985240132234232161,ИП «Градиент»,671120754530,99727875588675339636,ОАО «Опт»,1465840445,83928.92,,страховой взнос согласно счёту №73932,high
2025-08-20 22:22:58,66934654722698485833,ОАО «Квадро»,9221699584,00975197128478189137,ООО «Поток»,9738468953,,70826.03,займ согласно счёту №88969,high
2025-08-21 02:36:28,00975197128478189137,ООО «Поток»,9738468953,31290148706827788160,ИП «Фокус»,834146511165,71204.59,,взаиморасчёт согласно счёту №56787,high
2025-08-21 10:42:35,12898123179556331857,ФЛ Лебедев Дмитрий,607763369109,53998935449268315893,ИП «Восток»,851017490754,,28182.42,консультационные согласно счёту №80785,low
2025-08-21 11:27:54,57216966630932998199,ФЛ Кузнецов Егор,774722640824,27846997335494651909,АО «Маркет»,5701329025,,18059.86,хостинг и связь согласно счёту №95125,low
2025-08-21 11:38:35,59826204505331586923,АО «Опт»,8680112803,93371189547382023684,ФЛ Попов Дмитрий,439611291007,28459.32,,выдача наличных,high
2025-08-21 12:08:08,93371189547382023684,ФЛ Попов Дмитрий,439611291007,58955296386396096262,ФЛ Смирнов Никита,446306000246,27843.45,,комиссионное за товары,high
2025-08-21 12:32:48,92816158148769639382,ООО «Альфа»,7157724597,72405593429671114837,ФЛ Иванов Дмитрий,689003010281,,20498.2,эквайринг за работы,low
2025-08-21 12:50:00,96986091919113599660,ФЛ Лебедев Дмитрий,973964178903,20275884252410564814,АО «Гамма»,1799042100,99845.99,,swift за период,high
2025-08-21 13:40:40,12898123179556331857,ФЛ Лебедев Дмитрий,607763369109,32149587020701601662,ООО «Альфа»,3858542492,,79001.77,крипто согласно счёту №14102,high
2025-08-21 13:43:39,58955296386396096262,ФЛ Смирнов Никита,446306000246,04227113322889857254,ФЛ Петров Андрей,681820967941,28022.8,,биржа за работы,high
2025-08-21 13:44:56,04227113322889857254,ФЛ Петров Андрей,681820967941,62126796927868765326,АО «Восток»,2422010272,28455.91,,иностранный перевод согласно счёту №34223,high
2025-08-21 15:24:33,83347743326831901302,ФЛ Петров Максим,590251762904,89268705685662462873,ЗАО «Регион»,3428364400,29097.72,,субаренда за товары,low
2025-08-21 15:28:45,52895392644220969029,АО «Градиент»,9154522677,40568299629145046173,ЗАО «Север»,8803955122,,37716.77,предоплата по договору №6682,low
2025-08-21 15:34:50,20275884252410564814,АО «Гамма»,1799042100,60013389083863794026,ООО «Кей»,0433218198,99173.27,,перевод на карту за товары,high
2025-08-21 16:23:09,60013389083863794026,ООО «Кей»,0433218198,51718702621745961586,ЗАО «Бета»,7662702893,,100249.07,crypto по договору №2559,high
2025-08-21 16:34:01,62126796927868765326,АО «Восток»,2422010272,01851067949756792287,ИП «Квадро»,229604432786,28609.72,,иностранный перевод согласно счёту №3877,high
2025-08-21 16:45:58,32149587020701601662,ООО «Альфа»,3858542492,80612943985298940626,ФЛ Лебедев Андрей,857567667090,81305.93,,без договора,high
2025-08-21 19:15:01,01851067949756792287,ИП «Квадро»,229604432786,11724005045562386922,АО «Юг»,8091343166,28448.67,,благотворительность по договору №8395,high
2025-08-21 19:43:00,99023557702727857608,ЗАО «Гамма»,4885015560,37526547935646519398,АО «Юг»,5756924591,60011.27,,валютный счёт по договору №8147,high
2025-08-21 20:29:05,37526547935646519398,АО «Юг»,5756924591,79472846392086780856,ООО «Дельта»,7908075959,,59254.81,пополнение по договору №1685,high
2025-08-21 20:37:34,51718702621745961586,ЗАО «Бета»,7662702893,48996423536937854777,ЗАО «Маркет»,3556093201,,101561.09,договор займа за период,high
2025-08-21 21:20:26,79472846392086780856,ООО «Дельта»,7908075959,71302321298338167423,ИП «Город»,339685270164,60169.99,,биржа,high
2025-08-21 21:25:33,48996423536937854777,ЗАО «Маркет»,3556093201,85445770299295966048,ФЛ Сидоров Егор,460917851348,100914.29,,иностранный перевод согласно счёту №65488,high
2025-08-21 22:51:41,71302321298338167423,ИП «Город»,339685270164,37401827279559690515,ФЛ Егоров Андрей,435884183455,59584.72,,агентское вознаграждение согласно счёту №64647,high
2025-08-21 22:57:47,37401827279559690515,ФЛ Егоров Андрей,435884183455,83586812259572446176,ФЛ Иванов Максим,052774025804,59769.92,,иностранный перевод согласно счёту №84224,high
2025-08-21 23:00:15,80612943985298940626,ФЛ Лебедев Андрей,857567667090,91862339220715116966,ФЛ Егоров Сергей,895090591176,78855.89,,перевод на карту за работы,high
2025-08-22 10:02:42,56945441496739385258,АО «Омега»,0476580187,02311775331266109410,ФЛ Сидоров Никита,259959961020,18354.53,,страховой взнос по договору №4767,low
2025-08-22 11:09:02,25502130609069130981,ФЛ Сидоров Сергей,850116880904,79695867805555727738,ФЛ Лебедев Андрей,133053194993,36744.38,,канцелярские товары по договору №2225,low
2025-08-22 13:26:29,19953766014448564510,ФЛ Егоров Никита,176927438156,01227770793349605016,ИП «Кей»,368314727649,199265.51,,выдача наличных по договору №2917,medium
2025-08-22 15:33:00,33059126620157201859,ИП «Юг»,472927742308,57787112166365155973,ФЛ Сидоров Пётр,462961367197,32253.2,,эквайринг по договору №1971,low
2025-08-22 15:55:49,72405593429671114837,ФЛ Иванов Дмитрий,689003010281,16247314986430098180,ЗАО «Магнит»,0863765996,129272.72,,иностранный перевод по договору №6078,high
2025-08-22 15:58:57,86101581995604661839,ЗАО «Импульс»,4121267888,00425488214236914307,ФЛ Лебедев Иван,349107406520,43738.55,,оплата по договору поставки по договору №9879,low
2025-08-22 15:58:58,51606071596966416052,ООО «Дельта»,7622683884,63044836085456676640,ФЛ Егоров Пётр,275156277906,,57271.52,предоплата за услуги,low
2025-08-22 16:22:21,65569816934060883561,ЗАО «Прайм»,0142940190,77848728299796884578,ЗАО «Опт»,7228200553,,14452.93,канцелярские товары,low
2025-08-22 17:20:01,16247314986430098180,ЗАО «Магнит»,0863765996,38921878519358374907,ФЛ Попов Никита,655358512551,,127720.82,крипто по договору №8068,high
2025-08-22 19:03:38,38921878519358374907,ФЛ Попов Никита,655358512551,49511918182819793164,ФЛ Иванов Иван,850960858776,129659.76,,пожертвование по договору №7056,high
2025-08-23 10:08:58,06046333127975736609,АО «Гео»,5267722334,20284576521328338988,ИП «Маркет»,855445189518,,61464.32,оплата по договору поставки по договору №3961,low
2025-08-23 10:20:51,19108839822587139718,АО «Градиент»,8339187853,79695867805555727738,ФЛ Лебедев Андрей,133053194993,,58145.98,транспорт по договору №2531,low
2025-08-23 10:43:13,61115542622189092753,АО «Прайм»,0051627135,57788178847951371162,ИП «Опт»,355486401572,20338.95,,оплата по договору поставки,low
2025-08-23 10:48:16,01864876998426732044,ФЛ Попов Иван,954930596615,68171516025298670766,ФЛ Сидоров Егор,244670462290,,19863.93,заработная плата согласно счёту №47459,low
2025-08-23 11:24:39,87571775140105123828,ЗАО «Дельта»,6112545733,20797996673459576403,ФЛ Сидоров Егор,755125427860,,50429.52,налоги и сборы,medium
2025-08-23 13:06:44,86101581995604661839,ЗАО «Импульс»,4121267888,56775677722660256265,ФЛ Лебедев Андрей,747583392071,158531.61,,хостинг и связь согласно счёту №73921,high
2025-08-23 13:35:12,82251207346549500507,ФЛ Иванов Иван,934596262294,43188485200894346810,ИП «Кей»,341085628839,,56885.26,канцелярские товары согласно счёту №68727,low
2025-08-23 14:13:52,37401827279559690515,ФЛ Егоров Андрей,435884183455,41559991015767647229,ФЛ Сидоров Пётр,288665268345,,54638.76,вознаграждение за работы,low
2025-08-23 14:58:01,77470168733950047974,АО «Запад»,3259532784,97552314913577594929,ООО «Вектор»,8781414134,65388.94,,биткоин за услуги,medium
2025-08-23 15:09:12,56775677722660256265,ФЛ Лебедев Андрей,747583392071,93010310518347382997,АО «Импульс»,1331509834,156247.7,,экспорт,high
2025-08-23 15:45:40,93010310518347382997,АО «Импульс»,1331509834,95946521707303379337,ИП «Восток»,331537795977,,156708.52,биткоин за услуги,high
2025-08-23 15:47:45,19754661766204719609,ФЛ Иванов Сергей,232883774484,70176563600412577711,ИП «Восток»,185672438006,43636.19,,канцелярские товары за товары,medium
2025-08-23 16:43:21,95946521707303379337,ИП «Восток»,331537795977,64316704502329028227,ФЛ Петров Максим,006661554164,,155263.05,перевод средств за работы,high
2025-08-23 19:43:36,64316704502329028227,ФЛ Петров Максим,006661554164,71657262849877694531,ООО «Дельта»,5865185069,155121.96,,лизинг за работы,high
2025-08-24 00:44:47,71657262849877694531,ООО «Дельта»,5865185069,07970509754510526501,ИП «Север»,744309634858,158275.67,,агентское вознаграждение согласно счёту №48873,high
2025-08-24 11:40:09,89554393769042681818,АО «Восток»,6938011848,82508004635806882850,ФЛ Егоров Никита,740803149961,,46973.66,перевозка согласно счёту №6922,medium
2025-08-24 11:45:09,60013389083863794026,ООО «Кей»,0433218198,44300910939111926921,ООО «Альфа»,1061817539,29358.63,,оплата по договору поставки,low
2025-08-24 12:17:35,55474355379502097002,ИП «Гамма»,161284639872,66912153539613674994,ИП «Квадро»,207167811255,11000.39,,услуги по договору за товары,medium
2025-08-24 13:08:23,48996423536937854777,ЗАО «Маркет»,3556093201,60013389083863794026,ООО «Кей»,0433218198,,42610.98,консультационные согласно счёту №61406,low
2025-08-24 14:51:46,88424745171236851604,ОАО «Восток»,1456232850,17422438649081081866,ИП «Бета»,732788147648,,18030.1,эквайринг,low
2025-08-24 14:54:33,23045018961642361032,ИП «Градиент»,749050975902,91862339220715116966,ФЛ Егоров Сергей,895090591176,,39536.26,договор займа согласно счёту №30753,medium
2025-08-24 15:10:51,53559042597927033521,ООО «Точка»,4659116653,90229413186999386774,ЗАО «Импульс»,2047116710,60531.06,,заработная плата за период,low
2025-08-24 15:14:46,06046333127975736609,АО «Гео»,5267722334,84434481230834024240,ФЛ Смирнов Дмитрий,202939087879,,135508.92,эквайринг по договору №4283,low
2025-08-24 16:03:06,15632686850745106634,ФЛ Иванов Максим,240787541871,83586812259572446176,ФЛ Иванов Максим,052774025804,,8081.84,транспорт,low
2025-08-24 16:04:25,12328120679740344713,АО «Регион»,4990913348,88444310698720506149,ОАО «Кей»,9620153363,,97585.34,хостинг и связь согласно счёту №18682,low
2025-08-24 16:39:06,62887431271026767209,ФЛ Сидоров Никита,418222618917,00687616481980770460,ФЛ Лебедев Дмитрий,278195237149,36502.03,,коммунальные услуги,medium
2025-08-25 10:23:06,62887431271026767209,ФЛ Сидоров Никита,418222618917,04967066703362680408,ФЛ Лебедев Максим,107044964163,,47470.54,эквайринг за работы,low
2025-08-25 10:48:48,53286326667850720811,ИП «Маркет»,375482145613,51606071596966416052,ООО «Дельта»,7622683884,,20523.39,канцелярские товары по договору №8046,low
2025-08-25 12:02:26,33491141520850769864,ИП «Восток»,561655650370,23045018961642361032,ИП «Градиент»,749050975902,,78883.89,банковская комиссия за период,low
2025-08-25 12:11:44,44731584776863423461,ФЛ Иванов Сергей,351305231205,70538338848792069804,ООО «Дельта»,3924051475,,24296.76,консультационные согласно счёту №97932,low
2025-08-25 12:40:34,99688143536822239431,ОАО «Кей»,4508821004,36517773926030299228,ООО «Точка»,8432225912,51195.17,,перевозка по договору №9493,low
2025-08-25 13:56:33,23229031028795083044,ФЛ Петров Никита,985172444781,73715869886497677622,ИП «Маркет»,712661106256,,51674.31,премия по договору №5431,medium
2025-08-25 14:08:21,79772781050922216107,ФЛ Иванов Никита,047604409082,69749956412203103037,ИП «Прайм»,680061027705,143751.92,,лизинг,low
2025-08-25 15:44:19,51606071596966416052,ООО «Дельта»,7622683884,07446660993538758428,ЗАО «Фокус»,3283096521,,49122.65,маркетинг,medium
2025-08-25 16:40:19,36374545892975001701,АО «Импульс»,5901751869,20873753001197218114,АО «Дельта»,3934835648,119395.83,,crypto,high
2025-08-25 17:13:10,20873753001197218114,АО «Дельта»,3934835648,90229413186999386774,ЗАО «Импульс»,2047116710,118139.2,,транспорт,high
2025-08-25 17:29:50,90229413186999386774,ЗАО «Импульс»,2047116710,44300910939111926921,ООО «Альфа»,1061817539,,120082.28,договор займа за товары,high
2025-08-25 17:47:39,44300910939111926921,ООО «Альфа»,1061817539,69156716493289802714,ИП «Магнит»,050505739761,,118725.24,биткоин по договору №7051,high
2025-08-25 20:10:05,69156716493289802714,ИП «Магнит»,050505739761,33491141520850769864,ИП «Восток»,561655650370,,120568.31,агентское вознаграждение за товары,high
2025-08-25 23:38:44,33491141520850769864,ИП «Восток»,561655650370,34817058025662128671,ИП «Дельта»,097023164351,118896.69,,банковская комиссия за работы,high
2025-08-26 10:57:17,46684550489267389975,ИП «Юг»,626060290881,06724004991547887287,ЗАО «Юг»,0193802625,,30626.59,маркетинг за услуги,low
2025-08-26 12:20:03,65652341389994043898,ОАО «Кей»,6973112197,47146273014719597964,ИП «Бета»,947873002463,45632.4,,хостинг и связь по договору №7239,low
2025-08-26 13:24:58,14036965666683272386,АО «Гео»,2405800859,19108839822587139718,АО «Градиент»,8339187853,20758.39,,логистика по договору №812,medium
2025-08-26 13:55:31,19642152265576769523,ФЛ Попов Никита,102252677150,68512765289286646491,ФЛ Иванов Никита,481776655870,,592130.25,благотворительность согласно счёту №98381,high
2025-08-26 13:55:49,09835841687849912165,ООО «Город»,1624565067,99688143536822239431,ОАО «Кей»,4508821004,20139.23,,канцелярские товары за товары,low
2025-08-26 14:06:35,50184819737418972154,ФЛ Петров Дмитрий,426192372446,01851067949756792287,ИП «Квадро»,229604432786,94643.38,,аренда,medium
2025-08-26 14:46:06,11718227824896383465,ЗАО «Поток»,7015430390,84399106227236266933,ФЛ Смирнов Егор,867752401413,31033.53,,коммунальные услуги по договору №6809,low
2025-08-26 15:12:46,60648422940572025909,ОАО «Маркет»,3472122819,85931109193928456797,ИП «Прайм»,767699150792,,33414.23,страховой взнос согласно счёту №52903,low
2025-08-26 17:25:28,68512765289286646491,ФЛ Иванов Никита,481776655870,89536902611398986818,ФЛ Сидоров Андрей,042901935812,601610.51,,аванс согласно счёту №84047,high
2025-08-26 19:59:44,89536902611398986818,ФЛ Сидоров Андрей,042901935812,69961125355449647598,АО «Юг»,7169472256,576824.6,,пополнение,high
2025-08-26 22:15:55,69961125355449647598,АО «Юг»,7169472256,33491141520850769864,ИП «Восток»,561655650370,597210.94,,биткоин за услуги,high
2025-08-27 10:14:06,43882211457758474570,ФЛ Иванов Андрей,790737100992,19952980061558108358,ФЛ Лебедев Дмитрий,504763928372,68732.29,,оплата по договору поставки за период,low
2025-08-27 10:39:57,38427978819148580783,АО «Градиент»,7219034042,65817390637579145211,ФЛ Кузнецов Егор,847488360760,56862.34,,налоги и сборы за услуги,low
2025-08-27 14:31:14,61497840369003432445,АО «Прайм»,7976438150,11593195256904098366,ИП «Кей»,668633414103,,60634.16,налоги и сборы,low
2025-08-28 11:20:45,52895392644220969029,АО «Градиент»,9154522677,40568299629145046173,ЗАО «Север»,8803955122,,36197.22,предоплата по договору №6682,low
2025-08-28 13:23:25,66927589551687409038,ФЛ Лебедев Никита,747219705430,39589477352287056227,ФЛ Егоров Никита,485959224898,152700.73,,экспорт за период,high
2025-08-28 13:27:22,39589477352287056227,ФЛ Егоров Никита,485959224898,70155029168154660241,ФЛ Петров Сергей,276457938934,,151923.64,crypto по договору №4491,high
2025-08-28 13:30:57,01864876998426732044,ФЛ Попов Иван,954930596615,68171516025298670766,ФЛ Сидоров Егор,244670462290,19340.6,,заработная плата согласно счёту №47459,low
2025-08-28 13:32:18,70155029168154660241,ФЛ Петров Сергей,276457938934,11718227824896383465,ЗАО «Поток»,7015430390,156358.56,,частичная оплата по договору №9947,high
2025-08-28 13:32:50,11718227824896383465,ЗАО «Поток»,7015430390,97552314913577594929,ООО «Вектор»,8781414134,153752.08,,выдача наличных,high
2025-08-28 13:37:00,97552314913577594929,ООО «Вектор»,8781414134,50583003354216894210,АО «Омега»,6667600830,,154204.06,перевод на карту по договору №5359,high
2025-08-28 13:47:22,50583003354216894210,АО «Омега»,6667600830,65652341389994043898,ОАО «Кей»,6973112197,,151904.46,crypto согласно счёту №82529,high
2025-08-29 19:58:07,07991183842513542784,ОАО «Фокус»,5346247515,80793597820715182037,ЗАО «Бета»,4119986797,276431.93,,биткоин по договору №5080,high
2025-08-29 20:16:09,80793597820715182037,ЗАО «Бета»,4119986797,77470168733950047974,АО «Запад»,3259532784,,278320.51,иностранный перевод за работы,high
2025-08-29 20:29:11,77470168733950047974,АО «Запад»,3259532784,91862339220715116966,ФЛ Егоров Сергей,895090591176,280047.31,,обналичивание,high
2025-08-29 21:10:44,91862339220715116966,ФЛ Егоров Сергей,895090591176,00425488214236914307,ФЛ Лебедев Иван,349107406520,,281052.55,usdt,high
2025-08-29 22:35:23,00425488214236914307,ФЛ Лебедев Иван,349107406520,04010414596422971252,ФЛ Иванов Сергей,156321358011,275295.7,,личные нужды,high
2025-08-29 23:23:01,04010414596422971252,ФЛ Иванов Сергей,156321358011,97252175250074329271,АО «Дельта»,8460223561,277708.16,,передача активов за период,high
2025-08-30 15:12:24,89554393769042681818,АО «Восток»,6938011848,82508004635806882850,ФЛ Егоров Никита,740803149961,47452.86,,перевозка согласно счёту №6922,medium
2025-08-30 16:21:54,57216966630932998199,ФЛ Кузнецов Егор,774722640824,27846997335494651909,АО «Маркет»,5701329025,18511.01,,хостинг и связь согласно счёту №95125,low
2025-08-31 11:05:36,15662776896270661498,ИП «Точка»,293449734703,60013389083863794026,ООО «Кей»,0433218198,,190976.19,банковская комиссия за услуги,high
2025-08-31 12:13:28,11718227824896383465,ЗАО «Поток»,7015430390,84399106227236266933,ФЛ Смирнов Егор,867752401413,30790.73,,коммунальные услуги по договору №6809,low
2025-08-31 12:26:38,88424745171236851604,ОАО «Восток»,1456232850,17422438649081081866,ИП «Бета»,732788147648,16767.65,,эквайринг,low
2025-08-31 13:40:14,62887431271026767209,ФЛ Сидоров Никита,418222618917,04967066703362680408,ФЛ Лебедев Максим,107044964163,,44569.97,эквайринг за работы,low
2025-08-31 17:00:29,60013389083863794026,ООО «Кей»,0433218198,92158350344694596488,ФЛ Иванов Никита,331875109711,,190978.59,экспорт за период,high
2025-08-31 20:50:11,92158350344694596488,ФЛ Иванов Никита,331875109711,11964258562614991537,ФЛ Кузнецов Никита,884882691339,197320.19,,наличные по договору №8445,high
2025-09-01 15:26:42,23229031028795083044,ФЛ Петров Никита,985172444781,73715869886497677622,ИП «Маркет»,712661106256,,51716.58,премия по договору №5431,medium
2025-09-01 17:51:41,39685621850163159996,ЗАО «Вектор»,0392614295,63044836085456676640,ФЛ Егоров Пётр,275156277906,,595445.1,личные нужды по договору №7976,high
2025-09-01 21:23:26,63044836085456676640,ФЛ Егоров Пётр,275156277906,54837441715810213125,ФЛ Егоров Егор,046558665288,598212.93,,агентское вознаграждение по договору №3630,high
2025-09-01 21:43:58,54837441715810213125,ФЛ Егоров Егор,046558665288,13866675485819324268,ФЛ Иванов Андрей,102876754897,,605028.05,обналичивание,high
2025-09-02 01:46:32,13866675485819324268,ФЛ Иванов Андрей,102876754897,12982665702793714521,АО «Вектор»,4908277188,592758.78,,взаиморасчёт согласно счёту №76074,high
2025-09-02 09:38:16,17703886086803476447,АО «Опт»,5699988081,60480589258320679981,ООО «Запад»,0556613906,158620.46,,без договора по договору №1308,high
2025-09-02 10:22:52,14036965666683272386,АО «Гео»,2405800859,19108839822587139718,АО «Градиент»,8339187853,,22593.92,логистика по договору №812,medium
2025-09-02 10:32:08,60480589258320679981,ООО «Запад»,0556613906,57885685574443135182,АО «Кей»,7014363494,160077.42,,usdt по договору №2330,high
2025-09-02 12:11:08,52895392644220969029,АО «Градиент»,9154522677,40568299629145046173,ЗАО «Север»,8803955122,,35180.28,предоплата по договору №6682,low
2025-09-02 12:17:40,44731584776863423461,ФЛ Иванов Сергей,351305231205,70538338848792069804,ООО «Дельта»,3924051475,,23539.57,консультационные согласно счёту №97932,low
2025-09-02 13:32:37,61497840369003432445,АО «Прайм»,7976438150,11593195256904098366,ИП «Кей»,668633414103,,61190.88,налоги и сборы,low
2025-09-02 15:20:51,65652341389994043898,ОАО «Кей»,6973112197,47146273014719597964,ИП «Бета»,947873002463,46312.39,,хостинг и связь по договору №7239,low
2025-09-02 15:28:53,57885685574443135182,АО «Кей»,7014363494,83586812259572446176,ФЛ Иванов Максим,052774025804,,160174.56,возврат займа,high
2025-09-03 10:31:24,23045018961642361032,ИП «Градиент»,749050975902,37526547935646519398,АО «Юг»,5756924591,92002.24,,оплата услуг за услуги,medium
2025-09-03 11:21:47,43882211457758474570,ФЛ Иванов Андрей,790737100992,19952980061558108358,ФЛ Лебедев Дмитрий,504763928372,71678.52,,оплата по договору поставки за период,low
2025-09-03 12:24:40,46684550489267389975,ИП «Юг»,626060290881,06724004991547887287,ЗАО «Юг»,0193802625,,31664.06,маркетинг за услуги,low
2025-09-03 12:55:31,38427978819148580783,АО «Градиент»,7219034042,65817390637579145211,ФЛ Кузнецов Егор,847488360760,56974.91,,налоги и сборы за услуги,low
2025-09-03 13:26:36,82547807740649308536,ООО «Точка»,7456424009,48236629946804436995,ЗАО «Прайм»,9514846567,69230.0,,аренда офиса за работы,low
2025-09-03 13:57:09,65754602734151488814,ИП «Восток»,907895677605,94134750988986456522,ФЛ Петров Сергей,099576572873,,45897.82,бонус по договору №492,medium
2025-09-03 16:18:59,50184819737418972154,ФЛ Петров Дмитрий,426192372446,01851067949756792287,ИП «Квадро»,229604432786,95175.73,,аренда,medium
2025-09-03 18:59:18,57788178847951371162,ИП «Опт»,355486401572,06046333127975736609,АО «Гео»,5267722334,63397.5,,взаиморасчёт,high
2025-09-03 19:15:31,06046333127975736609,АО «Гео»,5267722334,00425488214236914307,ФЛ Лебедев Иван,349107406520,63028.95,,вознаграждение согласно счёту №66461,high
2025-09-03 22:52:30,00425488214236914307,ФЛ Лебедев Иван,349107406520,61117800681149216433,АО «Импульс»,2202341328,,62489.61,крипто за работы,high
2025-09-04 11:16:39,82251207346549500507,ФЛ Иванов Иван,934596262294,43188485200894346810,ИП «Кей»,341085628839,,55371.77,канцелярские товары согласно счёту №68727,low
2025-09-04 13:06:29,16247314986430098180,ЗАО «Магнит»,0863765996,06046333127975736609,АО «Гео»,5267722334,35956.91,,аренда офиса за услуги,low
2025-09-04 15:17:31,37401827279559690515,ФЛ Егоров Андрей,435884183455,41559991015767647229,ФЛ Сидоров Пётр,288665268345,52066.36,,вознаграждение за работы,low
2025-09-04 16:14:03,01864876998426732044,ФЛ Попов Иван,954930596615,68171516025298670766,ФЛ Сидоров Егор,244670462290,19996.0,,заработная плата согласно счёту №47459,low
2025-09-05 10:05:48,61115542622189092753,АО «Прайм»,0051627135,57788178847951371162,ИП «Опт»,355486401572,,20000.44,оплата по договору поставки,low
2025-09-05 10:27:43,25502130609069130981,ФЛ Сидоров Сергей,850116880904,79695867805555727738,ФЛ Лебедев Андрей,133053194993,35787.4,,канцелярские товары по договору №2225,low
2025-09-05 10:34:40,12898123179556331857,ФЛ Лебедев Дмитрий,607763369109,53998935449268315893,ИП «Восток»,851017490754,,27296.58,консультационные согласно счёту №80785,low
2025-09-05 11:13:08,33059126620157201859,ИП «Юг»,472927742308,57787112166365155973,ФЛ Сидоров Пётр,462961367197,,31604.8,эквайринг по договору №1971,low
2025-09-05 13:54:48,88424745171236851604,ОАО «Восток»,1456232850,17422438649081081866,ИП «Бета»,732788147648,,16744.91,эквайринг,low
2025-09-05 14:25:05,89554393769042681818,АО «Восток»,6938011848,82508004635806882850,ФЛ Егоров Никита,740803149961,49382.7,,перевозка согласно счёту №6922,medium
2025-09-06 10:36:28,57216966630932998199,ФЛ Кузнецов Егор,774722640824,27846997335494651909,АО «Маркет»,5701329025,18719.5,,хостинг и связь согласно счёту №95125,low
2025-09-06 10:41:39,06046333127975736609,АО «Гео»,5267722334,20284576521328338988,ИП «Маркет»,855445189518,,62349.86,оплата по договору поставки по договору №3961,low
